Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
Current measurement#27 , 55eV         ,     901447,   901447, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#28 , 55eV         ,     901448,   901448, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#29 , 55eV         ,     901449,   901449, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
x scan in Cu#1         , 76eV         ,     901451,   901538, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
x scan in Cu#2         , 76eV         ,     901539,   901626, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
x scan in Cu#3         , 76eV         ,     901627,   901714, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
x scan in Cu#4         , 76eV         ,     901715,   901802, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
x scan in Cu#5         , 76eV         ,     901803,   901890, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
x scan in Cu#6         , 76eV         ,     901891,   901978, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , 0               ,         ,             ,          ,          ,              ,     
Polarization Scan Cu #1, 76eV         ,     901993,   902083, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    ,                 ,         ,             ,          ,          ,              ,     
Polarization Scan Cu #2, 76 eV        ,     902087,   902177, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    ,                 ,         ,             ,          ,          ,              ,     
Current measurement#1  , 76 eV        ,     902178,   902178, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#2  , 76eV         ,     902180,   902180, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#3  , 76eV         ,     902181,   902181, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#4  , 75eV         ,     902182,   902182, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#5  , 75eV         ,     902183,   902183, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
