Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
Current measurement#223, 75eV         ,     903628,   903628, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#224, 75eV         ,     903629,   903629, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#225, 75eV         ,     903630,   903630, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#226, 75eV         ,     903631,   903631, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#227, 75eV         ,     903632,   903632, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#228, 75eV         ,     903633,   903633, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#229, 75eV         ,     903634,   903634, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#230, 75eV         ,     903635,   903635, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#231, 75eV         ,     903636,   903636, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#232, 75eV         ,     903637,   903637, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#233, 75eV         ,     903638,   903638, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#234, 75eV         ,     903639,   903639, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#235, 75eV         ,     903640,   903640, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#236, 75eV         ,     903641,   903641, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#237, 75eV         ,     903642,   903642, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#238, 75eV         ,     903643,   903643, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#239, 75eV         ,     903644,   903644, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#240, 75eV         ,     903645,   903645, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#241, 74eV         ,     903646,   903646, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#242, 74eV         ,     903647,   903647, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#243, 74eV         ,     903648,   903648, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#244, 74eV         ,     903649,   903649, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#245, 74eV         ,     903650,   903650, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#246, 74eV         ,     903651,   903651, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#247, 74eV         ,     903652,   903652, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#248, 74eV         ,     903653,   903653, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#249, 74eV         ,     903654,   903654, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#250, 74eV         ,     903655,   903655, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#251, 74eV         ,     903656,   903656, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#252, 74eV         ,     903657,   903657, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#253, 74eV         ,     903658,   903658, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#254, 74eV         ,     903659,   903659, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#255, 74eV         ,     903660,   903660, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#256, 74eV         ,     903661,   903661, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#257, 74eV         ,     903662,   903662, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#258, 74eV         ,     903663,   903663, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#259, 74eV         ,     903664,   903664, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#260, 74eV         ,     903665,   903665, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#261, 74eV         ,     903666,   903666, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#262, 74eV         ,     903667,   903667, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#263, 74eV         ,     903668,   903668, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#264, 74eV         ,     903669,   903669, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#265, 74eV         ,     903670,   903670, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#266, 74eV         ,     903671,   903671, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#267, 74eV         ,     903672,   903672, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#268, 74eV         ,     903673,   903673, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#269, 74eV         ,     903674,   903674, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#270, 74eV         ,     903675,   903675, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#271, 74eV         ,     903676,   903676, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#272, 74eV         ,     903677,   903677, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#273, 74eV         ,     903678,   903678, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#274, 78eV         ,     903679,   903679, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#275, 78eV         ,     903680,   903680, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#276, 78eV         ,     903681,   903681, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#277, 78eV         ,     903682,   903682, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#278, 78eV         ,     903683,   903683, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#279, 78eV         ,     903684,   903684, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#280, 78eV         ,     903685,   903685, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#281, 78eV         ,     903686,   903686, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#282, 78eV         ,     903687,   903687, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#283, 78eV         ,     903688,   903688, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#284, 78eV         ,     903689,   903689, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#285, 78eV         ,     903690,   903690, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#286, 78eV         ,     903691,   903691, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#287, 78eV         ,     903692,   903692, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#288, 78eV         ,     903693,   903693, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#289, 78eV         ,     903694,   903694, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#290, 78eV         ,     903695,   903695, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#291, 78eV         ,     903696,   903696, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.95kV    , -30             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#292, 78eV         ,     903697,   903697, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#293, 78eV         ,     903698,   903698, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#294, 78eV         ,     903699,   903699, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#295, 78eV         ,     903700,   903700, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#296, 78eV         ,     903701,   903701, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#297, 78eV         ,     903702,   903702, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#298, 78eV         ,     903703,   903703, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#299, 78eV         ,     903704,   903704, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#300, 78eV         ,     903705,   903705, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#301, 78eV         ,     903706,   903706, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#302, 78eV         ,     903707,   903707, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#303, 78eV         ,     903708,   903708, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#304, 78eV         ,     903709,   903709, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#305, 78eV         ,     903710,   903710, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#306, 78eV         ,     903711,   903711, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#307, 78eV         ,     903712,   903712, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#308, 78eV         ,     903713,   903713, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#309, 78eV         ,     903714,   903714, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#310, 78eV         ,     903715,   903715, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#311, 78eV         ,     903716,   903716, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#312, 78eV         ,     903717,   903717, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#313, 78eV         ,     903718,   903718, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#314, 78eV         ,     903719,   903719, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#315, 78eV         ,     903720,   903720, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#316, 78eV         ,     903721,   903721, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#317, 78eV         ,     903722,   903722, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#318, 78eV         ,     903723,   903723, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#319, 78eV         ,     903724,   903724, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#320, 78eV         ,     903725,   903725, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#321, 78eV         ,     903726,   903726, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#322, 78eV         ,     903727,   903727, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#323, 78eV         ,     903728,   903728, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#324, 78eV         ,     903729,   903729, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.87kV    , -30             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#325, 53eV         ,     904023,   904023, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#326, 53eV         ,     904024,   904024, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#327, 53eV         ,     904025,   904025, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#328, 53eV         ,     904026,   904026, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#329, 53eV         ,     904027,   904027, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#330, 53eV         ,     904028,   904028, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#331, 53eV         ,     904029,   904029, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#332, 53eV         ,     904030,   904030, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#333, 53eV         ,     904031,   904031, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#334, 53eV         ,     904032,   904032, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#335, 53eV         ,     904033,   904033, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#336, 53eV         ,     904034,   904034, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#337, 53eV         ,     904035,   904035, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#338, 53eV         ,     904036,   904036, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#339, 53eV         ,     904037,   904037, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#340, 53eV         ,     904038,   904038, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#341, 53eV         ,     904039,   904039, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#342, 53eV         ,     904040,   904040, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#343, 53eV         ,     904041,   904041, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#344, 53eV         ,     904042,   904042, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#345, 53eV         ,     904043,   904043, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#346, 53eV         ,     904044,   904044, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#347, 53eV         ,     904045,   904045, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#348, 53eV         ,     904046,   904046, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#349, 53eV         ,     904047,   904047, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#350, 53eV         ,     904048,   904048, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#351, 53eV         ,     904049,   904049, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#352, 53eV         ,     904050,   904050, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#353, 53eV         ,     904051,   904051, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#354, 53eV         ,     904052,   904052, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#355, 53eV         ,     904053,   904053, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#356, 53eV         ,     904054,   904054, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#357, 53eV         ,     904055,   904055, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#358, 54eV         ,     904057,   904057, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#359, 54eV         ,     904058,   904058, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#360, 54eV         ,     904059,   904059, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#361, 54eV         ,     904060,   904060, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#362, 54eV         ,     904061,   904061, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#363, 54eV         ,     904062,   904062, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#364, 54eV         ,     904063,   904063, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#365, 54eV         ,     904064,   904064, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#366, 54eV         ,     904065,   904065, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#367, 54eV         ,     904066,   904066, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#368, 54eV         ,     904067,   904067, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#369, 54eV         ,     904068,   904068, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#370, 54eV         ,     904069,   904069, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#371, 54eV         ,     904070,   904070, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#372, 54eV         ,     904071,   904071, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#373, 54eV         ,     904072,   904072, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#374, 54eV         ,     904073,   904073, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#375, 54eV         ,     904074,   904074, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#376, 54eV         ,     904075,   904075, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#377, 54eV         ,     904076,   904076, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#378, 54eV         ,     904077,   904077, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#379, 54eV         ,     904078,   904078, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#380, 54eV         ,     904079,   904079, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#381, 54eV         ,     904080,   904080, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#382, 54eV         ,     904081,   904081, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.89kV    , -40             ,         ,             ,          ,          ,              ,     
